date,event,actual,forecast,previous,ecb_rate_surprise,ecb_rate_available
2007-01-11,Main Refinancing Rate,3.5,3.5,3.5,0.0,1
2007-02-08,Main Refinancing Rate,3.5,3.5,3.5,0.0,1
2007-03-08,Main Refinancing Rate,3.75,3.75,3.5,0.0,1
2007-04-12,Main Refinancing Rate,3.75,3.75,3.75,0.0,1
2007-05-10,Main Refinancing Rate,3.75,3.75,3.75,0.0,1
2007-06-06,Main Refinancing Rate,4.0,4.0,3.75,0.0,1
2007-07-05,Main Refinancing Rate,4.0,4.0,4.0,0.0,1
2007-08-02,Main Refinancing Rate,4.0,4.0,4.0,0.0,1
2007-09-06,Main Refinancing Rate,4.0,4.0,4.0,0.0,1
2007-10-04,Main Refinancing Rate,4.0,4.0,4.0,0.0,1
2007-11-08,Main Refinancing Rate,4.0,4.0,4.0,0.0,1
2007-12-06,Main Refinancing Rate,4.0,4.0,4.0,0.0,1
2008-01-10,Main Refinancing Rate,4.0,4.0,4.0,0.0,1
2008-02-07,Main Refinancing Rate,4.0,4.0,4.0,0.0,1
2008-03-06,Main Refinancing Rate,4.0,4.0,4.0,0.0,1
2008-04-10,Main Refinancing Rate,4.0,4.0,4.0,0.0,1
2008-05-08,Main Refinancing Rate,4.0,4.0,4.0,0.0,1
2008-06-05,Main Refinancing Rate,4.0,4.0,4.0,0.0,1
2008-07-03,Main Refinancing Rate,4.25,4.25,4.0,0.0,1
2008-08-07,Main Refinancing Rate,4.25,4.25,4.25,0.0,1
2008-09-04,Main Refinancing Rate,4.25,4.25,4.25,0.0,1
2008-10-02,Main Refinancing Rate,4.25,4.25,4.25,0.0,1
2008-10-08,Main Refinancing Rate,3.75,,4.25,,0
2008-11-06,Main Refinancing Rate,3.25,3.25,3.75,0.0,1
2008-12-04,Main Refinancing Rate,2.5,2.75,3.25,-0.25,1
2009-01-15,Main Refinancing Rate,2.0,2.0,2.5,0.0,1
2009-02-05,Main Refinancing Rate,2.0,2.0,2.0,0.0,1
