date,event,canonical_event,actual,forecast,previous,surprise,surprise_available
2007-01-04,CPI Flash Estimate y/y,eu_cpi,1.9,1.9,1.9,0.0,1
2007-01-05,Non-Farm Employment Change,us_nfp,167.0,115.0,132.0,52.0,1
2007-01-11,Main Refinancing Rate,ecb_rate,3.5,3.5,3.5,0.0,1
2007-01-18,CPI m/m,us_cpi,0.5,0.5,0.0,0.0,1
2007-01-31,CPI Flash Estimate y/y,eu_cpi,1.9,2.1,1.9,-0.20000000000000018,1
2007-02-01,Federal Funds Rate,us_fomc,5.25,5.25,5.25,0.0,1
2007-02-02,Non-Farm Employment Change,us_nfp,111.0,146.0,206.0,-35.0,1
2007-02-08,Main Refinancing Rate,ecb_rate,3.5,3.5,3.5,0.0,1
2007-02-21,CPI m/m,us_cpi,0.2,0.2,0.5,0.0,1
2007-03-01,CPI Flash Estimate y/y,eu_cpi,1.8,1.9,1.9,-0.09999999999999987,1
2007-03-08,Main Refinancing Rate,ecb_rate,3.75,3.75,3.5,0.0,1
2007-03-09,Non-Farm Employment Change,us_nfp,97.0,100.0,146.0,-3.0,1
2007-03-16,CPI m/m,us_cpi,0.4,0.3,0.2,0.10000000000000003,1
2007-03-22,Federal Funds Rate,us_fomc,5.25,5.25,5.25,0.0,1
2007-03-30,CPI Flash Estimate y/y,eu_cpi,1.9,1.9,1.8,0.0,1
2007-04-06,Non-Farm Employment Change,us_nfp,180.0,135.0,113.0,45.0,1
2007-04-12,Main Refinancing Rate,ecb_rate,3.75,3.75,3.75,0.0,1
2007-04-17,CPI m/m,us_cpi,0.6,0.6,0.4,0.0,1
2007-04-30,CPI Flash Estimate y/y,eu_cpi,1.8,1.8,1.9,0.0,1
2007-05-04,Non-Farm Employment Change,us_nfp,88.0,107.0,177.0,-19.0,1
2007-05-10,Main Refinancing Rate,ecb_rate,3.75,3.75,3.75,0.0,1
2007-05-10,Federal Funds Rate,us_fomc,5.25,5.25,5.25,0.0,1
2007-05-15,CPI m/m,us_cpi,0.4,0.5,0.6,-0.09999999999999998,1
2007-05-31,CPI Flash Estimate y/y,eu_cpi,1.9,1.9,1.9,0.0,1
2007-06-01,Non-Farm Employment Change,us_nfp,157.0,135.0,80.0,22.0,1
2007-06-06,Main Refinancing Rate,ecb_rate,4.0,4.0,3.75,0.0,1
2007-06-15,CPI m/m,us_cpi,0.7,0.6,0.4,0.09999999999999998,1
2007-06-29,CPI Flash Estimate y/y,eu_cpi,1.9,1.9,1.9,0.0,1
2007-06-29,Federal Funds Rate,us_fomc,5.25,5.25,5.25,0.0,1
2007-07-05,Main Refinancing Rate,ecb_rate,4.0,4.0,4.0,0.0,1
2007-07-06,Non-Farm Employment Change,us_nfp,132.0,125.0,190.0,7.0,1
2007-07-18,CPI m/m,us_cpi,0.2,0.1,0.7,0.1,1
2007-07-31,CPI Flash Estimate y/y,eu_cpi,1.8,2.0,1.9,-0.19999999999999996,1
2007-08-02,Main Refinancing Rate,ecb_rate,4.0,4.0,4.0,0.0,1
2007-08-03,Non-Farm Employment Change,us_nfp,92.0,135.0,126.0,-43.0,1
2007-08-08,Federal Funds Rate,us_fomc,5.25,5.25,5.25,0.0,1
2007-08-15,CPI m/m,us_cpi,0.1,0.2,0.2,-0.1,1
2007-08-31,CPI Flash Estimate y/y,eu_cpi,1.8,1.8,1.8,0.0,1
2007-09-06,Main Refinancing Rate,ecb_rate,4.0,4.0,4.0,0.0,1
2007-09-07,Non-Farm Employment Change,us_nfp,-4.0,110.0,68.0,-114.0,1
2007-09-19,CPI m/m,us_cpi,-0.1,0.0,0.1,-0.1,1
2007-09-19,Federal Funds Rate,us_fomc,4.75,5.0,5.25,-0.25,1
2007-09-28,CPI Flash Estimate y/y,eu_cpi,2.1,2.0,1.7,0.10000000000000009,1
2007-10-04,Main Refinancing Rate,ecb_rate,4.0,4.0,4.0,0.0,1
2007-10-05,Non-Farm Employment Change,us_nfp,110.0,100.0,89.0,10.0,1
2007-10-17,CPI m/m,us_cpi,0.3,0.2,-0.1,0.09999999999999998,1
2007-10-31,CPI Flash Estimate y/y,eu_cpi,2.6,2.3,2.1,0.30000000000000027,1
2007-11-01,Federal Funds Rate,us_fomc,4.5,4.5,4.75,0.0,1
2007-11-02,Non-Farm Employment Change,us_nfp,166.0,82.0,96.0,84.0,1
2007-11-08,Main Refinancing Rate,ecb_rate,4.0,4.0,4.0,0.0,1
2007-11-15,CPI m/m,us_cpi,0.3,0.3,0.3,0.0,1
2007-11-30,CPI Flash Estimate y/y,eu_cpi,3.0,2.7,2.6,0.2999999999999998,1
2007-12-06,Main Refinancing Rate,ecb_rate,4.0,4.0,4.0,0.0,1
2007-12-07,Non-Farm Employment Change,us_nfp,94.0,75.0,170.0,19.0,1
2007-12-12,Federal Funds Rate,us_fomc,4.25,4.25,4.5,0.0,1
2007-12-14,CPI m/m,us_cpi,0.8,0.6,0.3,0.20000000000000007,1
2008-01-04,CPI Flash Estimate y/y,eu_cpi,3.1,3.1,3.1,0.0,1
2008-01-04,Non-Farm Employment Change,us_nfp,18.0,70.0,115.0,-52.0,1
2008-01-10,Main Refinancing Rate,ecb_rate,4.0,4.0,4.0,0.0,1
2008-01-16,CPI m/m,us_cpi,0.3,0.2,0.8,0.09999999999999998,1
2008-01-22,Federal Funds Rate,us_fomc,3.5,,4.25,,0
2008-01-31,CPI Flash Estimate y/y,eu_cpi,3.2,3.1,3.1,0.10000000000000009,1
2008-01-31,Federal Funds Rate,us_fomc,3.0,3.0,3.5,0.0,1
2008-02-01,Non-Farm Employment Change,us_nfp,-17.0,65.0,82.0,-82.0,1
2008-02-07,Main Refinancing Rate,ecb_rate,4.0,4.0,4.0,0.0,1
