date,event,actual,forecast,previous,eu_cpi_surprise,eu_cpi_available
2007-01-04,CPI Flash Estimate y/y,1.9,1.9,1.9,0.0,1
2007-01-31,CPI Flash Estimate y/y,1.9,2.1,1.9,-0.20000000000000018,1
2007-03-01,CPI Flash Estimate y/y,1.8,1.9,1.9,-0.09999999999999987,1
2007-03-30,CPI Flash Estimate y/y,1.9,1.9,1.8,0.0,1
2007-04-30,CPI Flash Estimate y/y,1.8,1.8,1.9,0.0,1
2007-05-31,CPI Flash Estimate y/y,1.9,1.9,1.9,0.0,1
2007-06-29,CPI Flash Estimate y/y,1.9,1.9,1.9,0.0,1
2007-07-31,CPI Flash Estimate y/y,1.8,2.0,1.9,-0.19999999999999996,1
2007-08-31,CPI Flash Estimate y/y,1.8,1.8,1.8,0.0,1
2007-09-28,CPI Flash Estimate y/y,2.1,2.0,1.7,0.10000000000000009,1
2007-10-31,CPI Flash Estimate y/y,2.6,2.3,2.1,0.30000000000000027,1
2007-11-30,CPI Flash Estimate y/y,3.0,2.7,2.6,0.2999999999999998,1
2008-01-04,CPI Flash Estimate y/y,3.1,3.1,3.1,0.0,1
2008-01-31,CPI Flash Estimate y/y,3.2,3.1,3.1,0.10000000000000009,1
2008-03-03,CPI Flash Estimate y/y,3.2,3.2,3.2,0.0,1
2008-03-31,CPI Flash Estimate y/y,3.5,3.3,3.3,0.20000000000000018,1
2008-04-30,CPI Flash Estimate y/y,3.3,3.4,3.6,-0.10000000000000009,1
2008-05-30,CPI Flash Estimate y/y,3.6,3.5,3.3,0.10000000000000009,1
2008-06-30,CPI Flash Estimate y/y,4.0,3.9,3.7,0.10000000000000009,1
2008-07-31,CPI Flash Estimate y/y,4.1,4.1,4.0,0.0,1
2008-08-29,CPI Flash Estimate y/y,3.8,3.9,4.0,-0.10000000000000009,1
2008-09-30,CPI Flash Estimate y/y,3.6,3.6,3.8,0.0,1
2008-10-31,CPI Flash Estimate y/y,3.2,3.2,3.6,0.0,1
2008-11-28,CPI Flash Estimate y/y,2.1,2.4,3.2,-0.2999999999999998,1
2009-01-06,CPI Flash Estimate y/y,1.6,1.8,2.1,-0.19999999999999996,1
2009-01-30,CPI Flash Estimate y/y,1.1,1.4,1.6,-0.2999999999999998,1
2009-03-02,CPI Flash Estimate y/y,1.2,1.0,1.1,0.19999999999999996,1
2009-03-31,CPI Flash Estimate y/y,0.6,0.7,1.2,-0.09999999999999998,1
2009-04-30,CPI Flash Estimate y/y,0.6,0.7,0.6,-0.09999999999999998,1
2009-05-29,CPI Flash Estimate y/y,0.0,0.2,0.6,-0.2,1
2009-06-30,CPI Flash Estimate y/y,-0.1,-0.2,0.0,0.1,1
2009-07-31,CPI Flash Estimate y/y,-0.6,-0.4,-0.1,-0.19999999999999996,1
2009-08-31,CPI Flash Estimate y/y,-0.2,-0.4,-0.7,0.2,1
2009-09-30,CPI Flash Estimate y/y,-0.3,-0.2,-0.2,-0.09999999999999998,1
2009-10-30,CPI Flash Estimate y/y,-0.1,-0.1,-0.3,0.0,1
2009-11-30,CPI Flash Estimate y/y,0.6,0.5,-0.1,0.09999999999999998,1
2010-01-05,CPI Flash Estimate y/y,0.9,0.9,0.5,0.0,1
2010-01-29,CPI Flash Estimate y/y,1.0,1.2,0.9,-0.19999999999999996,1
2010-03-02,CPI Flash Estimate y/y,0.9,1.0,1.0,-0.09999999999999998,1
2010-03-31,CPI Flash Estimate y/y,1.5,1.1,0.9,0.3999999999999999,1
2010-04-30,CPI Flash Estimate y/y,1.5,1.4,1.4,0.10000000000000009,1
2010-05-31,CPI Flash Estimate y/y,1.6,1.6,1.5,0.0,1
2010-06-30,CPI Flash Estimate y/y,1.4,1.5,1.6,-0.10000000000000009,1
2010-07-30,CPI Flash Estimate y/y,1.7,1.8,1.4,-0.10000000000000009,1
2010-08-31,CPI Flash Estimate y/y,1.6,1.6,1.7,0.0,1
2010-09-30,CPI Flash Estimate y/y,1.8,1.8,1.6,0.0,1
2010-10-29,CPI Flash Estimate y/y,1.9,1.7,1.8,0.19999999999999996,1
2010-11-30,CPI Flash Estimate y/y,1.9,1.9,1.9,0.0,1
2011-01-04,CPI Flash Estimate y/y,2.2,2.0,1.9,0.20000000000000018,1
2011-01-31,CPI Flash Estimate y/y,2.4,2.4,2.2,0.0,1
2011-03-01,CPI Flash Estimate y/y,2.4,2.4,2.3,0.0,1
2011-03-31,CPI Flash Estimate y/y,2.6,2.4,2.4,0.20000000000000018,1
2011-04-29,CPI Flash Estimate y/y,2.8,2.7,2.7,0.09999999999999964,1
2011-05-31,CPI Flash Estimate y/y,2.7,2.8,2.8,-0.09999999999999964,1
2011-06-30,CPI Flash Estimate y/y,2.7,2.8,2.7,-0.09999999999999964,1
2011-07-29,CPI Flash Estimate y/y,2.5,2.7,2.7,-0.20000000000000018,1
2011-08-31,CPI Flash Estimate y/y,2.5,2.5,2.5,0.0,1
2011-09-30,CPI Flash Estimate y/y,3.0,2.5,2.5,0.5,1
2011-10-31,CPI Flash Estimate y/y,3.0,2.9,3.0,0.10000000000000009,1
2011-11-30,CPI Flash Estimate y/y,3.0,3.0,3.0,0.0,1
2012-01-04,CPI Flash Estimate y/y,2.8,2.8,3.0,0.0,1
2012-02-01,CPI Flash Estimate y/y,2.7,2.7,2.7,0.0,1
2012-03-01,CPI Flash Estimate y/y,2.7,2.6,2.6,0.10000000000000009,1
2012-03-30,CPI Flash Estimate y/y,2.6,2.5,2.7,0.10000000000000009,1
2012-04-30,CPI Flash Estimate y/y,2.6,2.5,2.7,0.10000000000000009,1
2012-05-31,CPI Flash Estimate y/y,2.4,2.5,2.6,-0.10000000000000009,1
2012-06-29,CPI Flash Estimate y/y,2.4,2.4,2.4,0.0,1
2012-07-31,CPI Flash Estimate y/y,2.4,2.4,2.4,0.0,1
2012-08-31,CPI Flash Estimate y/y,2.6,2.5,2.4,0.10000000000000009,1
2012-09-28,CPI Flash Estimate y/y,2.7,2.4,2.6,0.30000000000000027,1
2012-10-31,CPI Flash Estimate y/y,2.5,2.5,2.6,0.0,1
2012-11-30,CPI Flash Estimate y/y,2.2,2.4,2.5,-0.19999999999999973,1
2013-01-04,CPI Flash Estimate y/y,2.2,2.1,2.2,0.10000000000000009,1
2013-02-01,CPI Flash Estimate y/y,2.0,2.2,2.2,-0.20000000000000018,1
2013-03-01,CPI Flash Estimate y/y,1.8,2.0,2.0,-0.19999999999999996,1
2013-04-03,CPI Flash Estimate y/y,1.7,1.6,1.8,0.09999999999999987,1
2013-04-30,CPI Flash Estimate y/y,1.2,1.6,1.7,-0.40000000000000013,1
2013-05-31,CPI Flash Estimate y/y,1.4,1.4,1.2,0.0,1
2013-07-01,CPI Flash Estimate y/y,1.6,1.6,1.4,0.0,1
2013-07-31,CPI Flash Estimate y/y,1.6,1.6,1.6,0.0,1
2013-08-30,CPI Flash Estimate y/y,1.3,1.4,1.6,-0.09999999999999987,1
2013-09-30,CPI Flash Estimate y/y,1.1,1.3,1.3,-0.19999999999999996,1
2013-10-31,CPI Flash Estimate y/y,0.7,1.1,1.1,-0.40000000000000013,1
2013-11-29,CPI Flash Estimate y/y,0.9,0.8,0.7,0.09999999999999998,1
2014-01-07,CPI Flash Estimate y/y,0.8,0.9,0.9,-0.09999999999999998,1
2014-01-31,CPI Flash Estimate y/y,0.7,0.9,0.8,-0.20000000000000007,1
2014-02-28,CPI Flash Estimate y/y,0.8,0.7,0.8,0.10000000000000009,1
2014-03-31,CPI Flash Estimate y/y,0.5,0.6,0.7,-0.09999999999999998,1
2014-04-30,CPI Flash Estimate y/y,0.7,0.8,0.5,-0.10000000000000009,1
2014-06-03,CPI Flash Estimate y/y,0.5,0.7,0.7,-0.19999999999999996,1
2014-06-30,CPI Flash Estimate y/y,0.5,0.6,0.5,-0.09999999999999998,1
2014-07-31,CPI Flash Estimate y/y,0.4,0.5,0.5,-0.09999999999999998,1
2014-08-29,CPI Flash Estimate y/y,0.3,0.3,0.4,0.0,1
2014-09-30,CPI Flash Estimate y/y,0.3,0.3,0.4,0.0,1
2014-10-31,CPI Flash Estimate y/y,0.4,0.4,0.3,0.0,1
2014-11-28,CPI Flash Estimate y/y,0.3,0.3,0.4,0.0,1
2015-01-07,CPI Flash Estimate y/y,-0.2,0.0,0.3,-0.2,1
2015-01-30,CPI Flash Estimate y/y,-0.6,-0.5,-0.2,-0.09999999999999998,1
2015-03-02,CPI Flash Estimate y/y,-0.3,-0.5,-0.6,0.2,1
2015-03-31,CPI Flash Estimate y/y,-0.1,-0.3,-0.3,0.19999999999999998,1
2015-04-30,CPI Flash Estimate y/y,0.0,0.0,-0.1,0.0,1
2015-06-02,CPI Flash Estimate y/y,0.3,0.2,0.0,0.09999999999999998,1
2015-06-30,CPI Flash Estimate y/y,0.2,0.2,0.3,0.0,1
2015-07-31,CPI Flash Estimate y/y,0.2,0.2,0.2,0.0,1
2015-08-31,CPI Flash Estimate y/y,0.2,0.2,0.2,0.0,1
2015-09-30,CPI Flash Estimate y/y,-0.1,0.0,0.1,-0.1,1
2015-10-30,CPI Flash Estimate y/y,0.0,0.0,-0.1,0.0,1
2015-12-02,CPI Flash Estimate y/y,0.1,0.2,0.1,-0.1,1
2016-01-05,CPI Flash Estimate y/y,0.2,0.4,0.2,-0.2,1
2016-01-29,CPI Flash Estimate y/y,0.4,0.4,0.2,0.0,1
2016-02-29,CPI Flash Estimate y/y,-0.2,0.0,0.3,-0.2,1
2016-03-31,CPI Flash Estimate y/y,-0.1,-0.1,-0.2,0.0,1
2016-04-29,CPI Flash Estimate y/y,-0.2,-0.1,0.0,-0.1,1
2016-05-31,CPI Flash Estimate y/y,-0.1,-0.1,-0.2,0.0,1
2016-06-30,CPI Flash Estimate y/y,0.1,0.0,-0.1,0.1,1
2016-07-29,CPI Flash Estimate y/y,0.2,0.1,0.1,0.1,1
2016-08-31,CPI Flash Estimate y/y,0.2,0.3,0.2,-0.09999999999999998,1
2016-09-30,CPI Flash Estimate y/y,0.4,0.4,0.2,0.0,1
2016-10-31,CPI Flash Estimate y/y,0.5,0.5,0.4,0.0,1
2016-11-30,CPI Flash Estimate y/y,0.6,0.6,0.5,0.0,1
2017-01-04,CPI Flash Estimate y/y,1.1,1.0,0.6,0.10000000000000009,1
2017-01-31,CPI Flash Estimate y/y,1.8,1.5,1.1,0.30000000000000004,1
2017-03-02,CPI Flash Estimate y/y,2.0,1.8,1.8,0.19999999999999996,1
2017-03-31,CPI Flash Estimate y/y,1.5,1.8,2.0,-0.30000000000000004,1
2017-04-28,CPI Flash Estimate y/y,1.9,1.8,1.5,0.09999999999999987,1
2017-05-31,CPI Flash Estimate y/y,1.4,1.5,1.9,-0.10000000000000009,1
2017-06-30,CPI Flash Estimate y/y,1.3,1.2,1.4,0.10000000000000009,1
2017-07-31,CPI Flash Estimate y/y,1.3,1.3,1.3,0.0,1
2017-08-31,CPI Flash Estimate y/y,1.5,1.4,1.3,0.10000000000000009,1
2017-09-29,CPI Flash Estimate y/y,1.5,1.6,1.5,-0.10000000000000009,1
2017-10-31,CPI Flash Estimate y/y,1.4,1.5,1.5,-0.10000000000000009,1
2017-11-30,CPI Flash Estimate y/y,1.5,1.6,1.4,-0.10000000000000009,1
2018-01-05,CPI Flash Estimate y/y,1.4,1.4,1.5,0.0,1
2018-01-31,CPI Flash Estimate y/y,1.3,1.3,1.4,0.0,1
2018-02-28,CPI Flash Estimate y/y,1.2,1.2,1.3,0.0,1
2018-04-04,CPI Flash Estimate y/y,1.4,1.4,1.1,0.0,1
