date,event,actual,forecast,previous,fomc_surprise,fomc_available
2007-02-01,Federal Funds Rate,5.25,5.25,5.25,0.0,1
2007-03-22,Federal Funds Rate,5.25,5.25,5.25,0.0,1
2007-05-10,Federal Funds Rate,5.25,5.25,5.25,0.0,1
2007-06-29,Federal Funds Rate,5.25,5.25,5.25,0.0,1
2007-08-08,Federal Funds Rate,5.25,5.25,5.25,0.0,1
2007-09-19,Federal Funds Rate,4.75,5.0,5.25,-0.25,1
2007-11-01,Federal Funds Rate,4.5,4.5,4.75,0.0,1
2007-12-12,Federal Funds Rate,4.25,4.25,4.5,0.0,1
2008-01-22,Federal Funds Rate,3.5,,4.25,,0
2008-01-31,Federal Funds Rate,3.0,3.0,3.5,0.0,1
2008-03-19,Federal Funds Rate,2.25,2.25,3.0,0.0,1
2008-05-01,Federal Funds Rate,2.0,2.0,2.25,0.0,1
2008-06-26,Federal Funds Rate,2.0,2.0,2.0,0.0,1
2008-08-06,Federal Funds Rate,2.0,2.0,2.0,0.0,1
2008-09-17,Federal Funds Rate,2.0,2.0,2.0,0.0,1
2008-10-08,Federal Funds Rate,1.5,,2.0,,0
2008-10-30,Federal Funds Rate,1.0,1.0,1.5,0.0,1
2008-12-17,Federal Funds Rate,0.25,0.5,1.0,-0.25,1
2009-01-29,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2009-03-19,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2009-04-30,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2009-06-25,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2009-08-13,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2009-09-24,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2009-11-05,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2009-12-17,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2010-01-28,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2010-03-17,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2010-04-29,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2010-06-24,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2010-08-11,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2010-09-22,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2010-11-04,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2010-12-15,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2011-01-27,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2011-03-16,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2011-04-28,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2011-06-23,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2011-08-10,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2011-09-22,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2011-11-03,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2011-12-14,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2012-01-26,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2012-03-14,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2012-04-26,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2012-06-21,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2012-08-02,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2012-09-14,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2012-10-25,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2012-12-13,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2013-01-31,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2013-03-21,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2013-05-02,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2013-06-20,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2013-08-01,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2013-09-19,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2013-10-31,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2013-12-19,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2014-01-30,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2014-03-20,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2014-05-01,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2014-06-19,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2014-07-31,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2014-09-18,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2014-10-30,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2014-12-18,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2015-01-29,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2015-03-19,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2015-04-30,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2015-06-18,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2015-07-30,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2015-09-18,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2015-10-29,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2015-12-17,Federal Funds Rate,0.5,0.5,0.25,0.0,1
2016-01-28,Federal Funds Rate,0.5,0.5,0.5,0.0,1
2016-03-17,Federal Funds Rate,0.5,0.5,0.5,0.0,1
2016-04-28,Federal Funds Rate,0.5,0.5,0.5,0.0,1
2016-06-16,Federal Funds Rate,0.5,0.5,0.5,0.0,1
2016-07-28,Federal Funds Rate,0.5,0.5,0.5,0.0,1
2016-09-22,Federal Funds Rate,0.5,0.5,0.5,0.0,1
2016-11-03,Federal Funds Rate,0.5,0.5,0.5,0.0,1
2016-12-15,Federal Funds Rate,0.75,0.75,0.5,0.0,1
2017-02-02,Federal Funds Rate,0.75,0.75,0.75,0.0,1
2017-03-16,Federal Funds Rate,1.0,1.0,0.75,0.0,1
2017-05-04,Federal Funds Rate,1.0,1.0,1.0,0.0,1
2017-06-15,Federal Funds Rate,1.25,1.25,1.0,0.0,1
2017-07-27,Federal Funds Rate,1.25,1.25,1.25,0.0,1
2017-09-21,Federal Funds Rate,1.25,1.25,1.25,0.0,1
2017-11-02,Federal Funds Rate,1.25,1.25,1.25,0.0,1
2017-12-14,Federal Funds Rate,1.5,1.5,1.25,0.0,1
2018-02-01,Federal Funds Rate,1.5,1.5,1.5,0.0,1
2018-03-22,Federal Funds Rate,1.75,1.75,1.5,0.0,1
2018-05-03,Federal Funds Rate,1.75,1.75,1.75,0.0,1
2018-06-14,Federal Funds Rate,2.0,2.0,1.75,0.0,1
2018-08-02,Federal Funds Rate,2.0,2.0,2.0,0.0,1
2018-09-27,Federal Funds Rate,2.25,2.25,2.0,0.0,1
2018-11-09,Federal Funds Rate,2.25,2.25,2.25,0.0,1
2018-12-20,Federal Funds Rate,2.5,2.5,2.25,0.0,1
2019-01-31,Federal Funds Rate,2.5,2.5,2.5,0.0,1
2019-03-21,Federal Funds Rate,2.5,2.5,2.5,0.0,1
2019-05-02,Federal Funds Rate,2.5,2.5,2.5,0.0,1
2019-06-20,Federal Funds Rate,2.5,2.5,2.5,0.0,1
2019-08-01,Federal Funds Rate,2.25,2.25,2.5,0.0,1
2019-09-19,Federal Funds Rate,2.0,2.0,2.25,0.0,1
2019-10-31,Federal Funds Rate,1.75,1.75,2.0,0.0,1
2019-12-12,Federal Funds Rate,1.75,1.75,1.75,0.0,1
2020-01-30,Federal Funds Rate,1.75,1.75,1.75,0.0,1
2020-03-03,Federal Funds Rate,1.25,,1.75,,0
2020-03-16,Federal Funds Rate,0.25,,1.25,,0
2020-04-30,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2020-06-11,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2020-07-30,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2020-09-17,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2020-11-06,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2020-12-17,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2021-01-28,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2021-03-18,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2021-04-29,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2021-06-17,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2021-07-29,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2021-09-23,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2021-11-04,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2021-12-16,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2022-01-27,Federal Funds Rate,0.25,0.25,0.25,0.0,1
2022-03-17,Federal Funds Rate,0.5,0.5,0.25,0.0,1
2022-05-05,Federal Funds Rate,1.0,1.0,0.5,0.0,1
2022-06-16,Federal Funds Rate,1.75,1.5,1.0,0.25,1
2022-07-28,Federal Funds Rate,2.5,2.5,1.75,0.0,1
2022-09-22,Federal Funds Rate,3.25,3.25,2.5,0.0,1
2022-11-03,Federal Funds Rate,4.0,4.0,3.25,0.0,1
2022-12-15,Federal Funds Rate,4.5,4.5,4.0,0.0,1
2023-02-02,Federal Funds Rate,4.75,4.75,4.5,0.0,1
2023-03-23,Federal Funds Rate,5.0,5.0,4.75,0.0,1
2023-05-04,Federal Funds Rate,5.25,5.25,5.0,0.0,1
2023-06-15,Federal Funds Rate,5.25,5.25,5.25,0.0,1
2023-07-27,Federal Funds Rate,5.5,5.5,5.25,0.0,1
2023-09-21,Federal Funds Rate,5.5,5.5,5.5,0.0,1
2023-11-02,Federal Funds Rate,5.5,5.5,5.5,0.0,1
2023-12-14,Federal Funds Rate,5.5,5.5,5.5,0.0,1
2024-02-01,Federal Funds Rate,5.5,5.5,5.5,0.0,1
2024-03-21,Federal Funds Rate,5.5,5.5,5.5,0.0,1
2024-05-02,Federal Funds Rate,5.5,5.5,5.5,0.0,1
2024-06-13,Federal Funds Rate,5.5,5.5,5.5,0.0,1
2024-08-01,Federal Funds Rate,5.5,5.5,5.5,0.0,1
2024-09-19,Federal Funds Rate,5.0,5.25,5.5,-0.25,1
2024-11-08,Federal Funds Rate,4.75,4.75,5.0,0.0,1
2024-12-19,Federal Funds Rate,4.5,4.5,4.75,0.0,1
2025-01-30,Federal Funds Rate,4.5,4.5,4.5,0.0,1
2025-03-20,Federal Funds Rate,4.5,4.5,4.5,0.0,1
2025-05-08,Federal Funds Rate,4.5,4.5,4.5,0.0,1
2025-06-19,Federal Funds Rate,4.5,4.5,4.5,0.0,1
2025-07-31,Federal Funds Rate,4.5,4.5,4.5,0.0,1
2025-09-18,Federal Funds Rate,4.25,4.25,4.5,0.0,1
2025-10-30,Federal Funds Rate,4.0,4.0,4.25,0.0,1
2025-12-11,Federal Funds Rate,3.75,3.75,4.0,0.0,1
