Feature Set,Model,Fold,Test Start,Test End,AUC
Technical Only,Logistic Regression,1,2010-11-30,2011-02-21,0.5486425339366515
Technical Only,Random Forest,1,2010-11-30,2011-02-21,0.584841628959276
Technical Only,XGBoost,1,2010-11-30,2011-02-21,0.4785067873303167
Technical Only,Logistic Regression,2,2011-02-22,2011-05-16,0.4857142857142857
Technical Only,Random Forest,2,2011-02-22,2011-05-16,0.5531428571428572
Technical Only,XGBoost,2,2011-02-22,2011-05-16,0.6171428571428571
Technical Only,Logistic Regression,3,2011-05-17,2011-08-08,0.4660734149054505
Technical Only,Random Forest,3,2011-05-17,2011-08-08,0.4682981090100111
Technical Only,XGBoost,3,2011-05-17,2011-08-08,0.47052280311457173
Technical Only,Logistic Regression,4,2011-08-09,2011-10-31,0.55
Technical Only,Random Forest,4,2011-08-09,2011-10-31,0.39999999999999997
Technical Only,XGBoost,4,2011-08-09,2011-10-31,0.45111111111111113
Technical Only,Logistic Regression,5,2011-11-01,2012-01-23,0.49
Technical Only,Random Forest,5,2011-11-01,2012-01-23,0.4966666666666666
Technical Only,XGBoost,5,2011-11-01,2012-01-23,0.4522222222222222
Technical Only,Logistic Regression,6,2012-01-24,2012-04-16,0.6011111111111112
Technical Only,Random Forest,6,2012-01-24,2012-04-16,0.5755555555555556
Technical Only,XGBoost,6,2012-01-24,2012-04-16,0.57
Technical Only,Logistic Regression,7,2012-04-17,2012-07-09,0.45240893066980026
Technical Only,Random Forest,7,2012-04-17,2012-07-09,0.4888366627497062
Technical Only,XGBoost,7,2012-04-17,2012-07-09,0.5323149236192715
Technical Only,Logistic Regression,8,2012-07-10,2012-10-01,0.44893378226711556
Technical Only,Random Forest,8,2012-07-10,2012-10-01,0.505050505050505
Technical Only,XGBoost,8,2012-07-10,2012-10-01,0.4017957351290685
Technical Only,Logistic Regression,9,2012-10-02,2012-12-25,0.5406006674082313
Technical Only,Random Forest,9,2012-10-02,2012-12-25,0.4849833147942158
Technical Only,XGBoost,9,2012-10-02,2012-12-25,0.4060066740823137
Technical Only,Logistic Regression,10,2012-12-26,2013-03-19,0.4860956618464961
Technical Only,Random Forest,10,2012-12-26,2013-03-19,0.3982202447163515
Technical Only,XGBoost,10,2012-12-26,2013-03-19,0.3014460511679644
Technical Only,Logistic Regression,11,2013-03-20,2013-06-11,0.6285714285714286
Technical Only,Random Forest,11,2013-03-20,2013-06-11,0.5519999999999999
Technical Only,XGBoost,11,2013-03-20,2013-06-11,0.5474285714285714
Technical Only,Logistic Regression,12,2013-06-12,2013-09-03,0.5100446428571429
Technical Only,Random Forest,12,2013-06-12,2013-09-03,0.45535714285714285
Technical Only,XGBoost,12,2013-06-12,2013-09-03,0.46205357142857134
Technical Only,Logistic Regression,13,2013-09-04,2013-11-27,0.46531100478468906
Technical Only,Random Forest,13,2013-09-04,2013-11-27,0.5191387559808612
Technical Only,XGBoost,13,2013-09-04,2013-11-27,0.5155502392344498
Technical Only,Logistic Regression,14,2013-11-28,2014-02-19,0.5212053571428572
Technical Only,Random Forest,14,2013-11-28,2014-02-19,0.5680803571428572
Technical Only,XGBoost,14,2013-11-28,2014-02-19,0.5647321428571429
