Feature Set,Model,Features,Train AUC,Test AUC,AUC Gap,Accuracy,Balanced Accuracy
Baseline Hybrid,Logistic Regression,48,0.5580602251124694,0.5071423781101201,0.05091784700234936,0.5021141649048626,0.5026691704111059
Baseline Hybrid,Random Forest,48,0.5857692163482713,0.5308854760467664,0.05488374030150489,0.514799154334038,0.5126752062235933
Baseline Hybrid,XGBoost,48,0.8826581805992292,0.5264838039031587,0.35617437669607044,0.5200845665961945,0.5203049203049204
No Availability,Logistic Regression,42,0.5579746033558133,0.5070395457492232,0.05093505760659012,0.5,0.5005544005544006
No Availability,Random Forest,42,0.5871656064678563,0.5184159345449668,0.0687496719228895,0.5042283298097252,0.502280195828583
No Availability,XGBoost,42,0.8826584604088914,0.5265061587642232,0.35615230164466816,0.5200845665961945,0.5203049203049204
Signed Log,Logistic Regression,48,0.5578766699740169,0.5072139136655266,0.050662756308490264,0.5010570824524313,0.5016296693716049
Signed Log,Random Forest,48,0.5829404805674988,0.5299599847986944,0.05298049576880437,0.5211416490486258,0.5198064069031811
Signed Log,XGBoost,48,0.8826581805992292,0.5266581718194621,0.3560000087797671,0.5200845665961945,0.5203049203049204
Directional,Logistic Regression,48,0.5578766699740169,0.5072139136655266,0.050662756308490264,0.5010570824524313,0.5016296693716049
Directional,Random Forest,48,0.5832672982530362,0.527317640220866,0.055949658032170224,0.5084566596194503,0.5068674133190262
Directional,XGBoost,48,0.8811960352090095,0.5220798962734446,0.3591161389355648,0.5179704016913319,0.5179755437819954
Directional + Rate Policy,Logistic Regression,58,0.5583957168975376,0.5108443431024076,0.04755137379513008,0.5010570824524313,0.5017012049270114
Directional + Rate Policy,Random Forest,58,0.5812535081136407,0.5364205396463461,0.044832968467294676,0.5221987315010571,0.5196655712784746
Directional + Rate Policy,XGBoost,58,0.8811960352090095,0.5220798962734446,0.3591161389355648,0.5179704016913319,0.5179755437819954
Refined No Availability,Logistic Regression,50,0.5584354498695807,0.510974001296582,0.04746144857299872,0.5031712473572939,0.50385174256142
Refined No Availability,Random Forest,50,0.579553524510487,0.5283727896631122,0.05118073484737484,0.5031712473572939,0.5015626047884112
Refined No Availability,XGBoost,50,0.8810022670178838,0.5224912257170322,0.35851104130085154,0.5190274841437632,0.5190150448214965
