Feature Set,Model,Mean_AUC,Std_AUC,Min_AUC,Max_AUC,Folds,Above_050,Above_055
Baseline Hybrid,Logistic Regression,0.5214545123906896,0.06582258010151655,0.3846153846153846,0.6464646464646465,65,39,26
Baseline Hybrid,Random Forest,0.5298466333630523,0.06477789579435908,0.40044493882091214,0.6811428571428572,65,41,25
Baseline Hybrid,XGBoost,0.5129686033189587,0.07648699250414293,0.3314794215795328,0.7341490545050056,65,34,20
Directional,Logistic Regression,0.5230346868313189,0.06487691504508818,0.3733031674208145,0.6531986531986533,65,41,25
Directional,Random Forest,0.5265798313761123,0.07253458948940981,0.36818687430478314,0.6891133557800225,65,39,23
Directional,XGBoost,0.5131285491722126,0.08018361340674894,0.3259176863181313,0.6885428253615129,65,33,21
Directional + Rate Policy,Logistic Regression,0.5204429501179076,0.06465403945347292,0.36990950226244346,0.6666666666666666,65,40,23
Directional + Rate Policy,Random Forest,0.5264799172993039,0.06591954510696774,0.36307519640852975,0.675194660734149,65,42,23
Directional + Rate Policy,XGBoost,0.5145737265400661,0.07490796389765148,0.3325917686318131,0.6840934371523916,65,34,22
No Availability,Logistic Regression,0.5218378726429056,0.06643476281246097,0.38687782805429866,0.6487093153759821,65,39,24
No Availability,Random Forest,0.5247345478712446,0.0640886249176366,0.37708565072302563,0.6487093153759821,65,38,23
No Availability,XGBoost,0.515331404295996,0.07948080718764504,0.34598214285714285,0.7341490545050056,65,36,22
Refined No Availability,Logistic Regression,0.5203391044568136,0.06510437539019215,0.36990950226244346,0.6689113355780022,65,40,23
Refined No Availability,Random Forest,0.5255321366711124,0.06453474397086902,0.41156840934371525,0.6711560044893378,65,41,21
Refined No Availability,XGBoost,0.5162595539449346,0.07601514334919814,0.35353535353535354,0.6729699666295885,65,35,22
Signed Log,Logistic Regression,0.5230346868313189,0.06487691504508818,0.3733031674208145,0.6531986531986533,65,41,25
Signed Log,Random Forest,0.5266066875359346,0.06441312928564848,0.3904338153503894,0.6745230078563412,65,39,25
Signed Log,XGBoost,0.5161002829636135,0.08151768619354693,0.3314794215795328,0.7185761957730812,65,36,21
