Window,Fold,Training Rows,Train Start,Train End,Test Start,Test End,AUC,Accuracy,Balanced Accuracy
Expanding,1,2520,2007-10-08,2017-07-05,2017-07-06,2017-09-28,0.6011428571428571,0.48333333333333334,0.5285714285714286
Expanding,2,2580,2007-10-08,2017-09-28,2017-09-29,2017-12-22,0.5189732142857143,0.48333333333333334,0.48660714285714285
Expanding,3,2640,2007-10-08,2017-12-22,2017-12-25,2018-03-16,0.4594907407407408,0.43333333333333335,0.45138888888888884
Expanding,4,2700,2007-10-08,2018-03-16,2018-03-19,2018-06-08,0.46945701357466063,0.45,0.47398190045248867
Expanding,5,2760,2007-10-08,2018-06-08,2018-06-11,2018-08-31,0.45717463848720796,0.48333333333333334,0.48665183537263623
Expanding,6,2820,2007-10-08,2018-08-31,2018-09-03,2018-11-23,0.5844444444444444,0.5666666666666667,0.5666666666666667
Expanding,7,2880,2007-10-08,2018-11-23,2018-11-26,2019-02-15,0.5706340378197998,0.55,0.5478309232480534
Expanding,8,2940,2007-10-08,2019-02-15,2019-02-18,2019-05-10,0.5474330357142857,0.5166666666666667,0.5066964285714286
Expanding,9,3000,2007-10-08,2019-05-10,2019-05-13,2019-08-05,0.547699214365881,0.5166666666666667,0.5303030303030303
Expanding,10,3060,2007-10-08,2019-08-05,2019-08-06,2019-10-28,0.5078125,0.45,0.453125
Expanding,11,3120,2007-10-08,2019-10-28,2019-10-29,2020-01-20,0.5491428571428572,0.5833333333333334,0.5971428571428572
Expanding,12,3180,2007-10-08,2020-01-20,2020-01-21,2020-04-13,0.47923681257014594,0.43333333333333335,0.4444444444444444
Expanding,13,3240,2007-10-08,2020-04-13,2020-04-14,2020-07-06,0.4612794612794613,0.4666666666666667,0.4781144781144781
Expanding,14,3300,2007-10-08,2020-07-06,2020-07-07,2020-09-28,0.4389140271493214,0.5,0.5135746606334841
Expanding,15,3360,2007-10-08,2020-09-28,2020-09-29,2020-12-21,0.5915178571428572,0.5333333333333333,0.5424107142857143
Expanding,16,3420,2007-10-08,2020-12-21,2020-12-22,2021-03-15,0.5457589285714286,0.5166666666666667,0.5
Expanding,17,3480,2007-10-08,2021-03-15,2021-03-16,2021-06-07,0.5255555555555556,0.48333333333333334,0.48333333333333334
Expanding,18,3540,2007-10-08,2021-06-07,2021-06-08,2021-08-30,0.4886877828054299,0.48333333333333334,0.5260180995475113
Expanding,19,3600,2007-10-08,2021-08-30,2021-08-31,2021-11-22,0.417420814479638,0.45,0.4785067873303167
Expanding,20,3660,2007-10-08,2021-11-22,2021-11-23,2022-02-14,0.6774193548387096,0.65,0.6501668520578421
Expanding,21,3720,2007-10-08,2022-02-14,2022-02-15,2022-05-09,0.5123384253819037,0.45,0.4882491186839013
Expanding,22,3780,2007-10-08,2022-05-09,2022-05-10,2022-08-01,0.5245535714285714,0.5333333333333333,0.5245535714285714
Expanding,23,3840,2007-10-08,2022-08-01,2022-08-02,2022-10-24,0.5702857142857143,0.5,0.5257142857142858
Expanding,24,3900,2007-10-08,2022-10-24,2022-10-25,2023-01-16,0.5072302558398221,0.5,0.5116796440489433
Expanding,25,3960,2007-10-08,2023-01-16,2023-01-17,2023-04-10,0.4933035714285714,0.43333333333333335,0.43526785714285715
Expanding,26,4020,2007-10-08,2023-04-10,2023-04-11,2023-07-03,0.49270482603815935,0.5666666666666667,0.5791245791245792
Expanding,27,4080,2007-10-08,2023-07-03,2023-07-04,2023-09-25,0.4482758620689655,0.4666666666666667,0.4760845383759733
Expanding,28,4140,2007-10-08,2023-09-25,2023-09-26,2023-12-18,0.5667789001122334,0.5166666666666667,0.5269360269360269
Expanding,29,4200,2007-10-08,2023-12-18,2023-12-19,2024-03-11,0.6088888888888889,0.5166666666666667,0.5166666666666666
Expanding,30,4260,2007-10-08,2024-03-11,2024-03-12,2024-06-03,0.5542857142857143,0.5666666666666667,0.5771428571428572
Expanding,31,4320,2007-10-08,2024-06-03,2024-06-04,2024-08-26,0.498868778280543,0.43333333333333335,0.4457013574660633
Expanding,32,4380,2007-10-08,2024-08-26,2024-08-27,2024-11-18,0.5311355311355311,0.5,0.5714285714285714
Expanding,33,4440,2007-10-08,2024-11-18,2024-11-19,2025-02-11,0.6083052749719416,0.6166666666666667,0.6245791245791246
Expanding,34,4500,2007-10-08,2025-02-11,2025-02-12,2025-05-08,0.5600448933782267,0.5333333333333333,0.5084175084175084
Expanding,35,4560,2007-10-08,2025-05-08,2025-05-09,2025-07-31,0.5424107142857142,0.48333333333333334,0.49776785714285715
Expanding,36,4620,2007-10-08,2025-07-31,2025-08-01,2025-10-23,0.6173526140155728,0.6,0.5951056729699666
5-Year Rolling,1,1260,2012-09-04,2017-07-05,2017-07-06,2017-09-28,0.5554285714285714,0.45,0.5
5-Year Rolling,2,1260,2012-11-27,2017-09-28,2017-09-29,2017-12-22,0.5301339285714285,0.48333333333333334,0.49107142857142855
5-Year Rolling,3,1260,2013-02-20,2017-12-22,2017-12-25,2018-03-16,0.4270833333333333,0.38333333333333336,0.4236111111111111
5-Year Rolling,4,1260,2013-05-15,2018-03-16,2018-03-19,2018-06-08,0.5305429864253394,0.5,0.5316742081447964
5-Year Rolling,5,1260,2013-08-07,2018-06-08,2018-06-11,2018-08-31,0.4204671857619577,0.38333333333333336,0.3898776418242491
5-Year Rolling,6,1260,2013-10-31,2018-08-31,2018-09-03,2018-11-23,0.6244444444444445,0.5833333333333334,0.5833333333333333
5-Year Rolling,7,1260,2014-01-23,2018-11-23,2018-11-26,2019-02-15,0.6062291434927698,0.6,0.6051167964404894
5-Year Rolling,8,1260,2014-04-17,2019-02-15,2019-02-18,2019-05-10,0.5625,0.48333333333333334,0.5089285714285714
5-Year Rolling,9,1260,2014-07-10,2019-05-10,2019-05-13,2019-08-05,0.5420875420875421,0.5666666666666667,0.5252525252525253
5-Year Rolling,10,1260,2014-10-02,2019-08-05,2019-08-06,2019-10-28,0.5323660714285714,0.5,0.5044642857142857
5-Year Rolling,11,1260,2014-12-25,2019-10-28,2019-10-29,2020-01-20,0.4674285714285714,0.43333333333333335,0.45714285714285713
5-Year Rolling,12,1260,2015-03-19,2020-01-20,2020-01-21,2020-04-13,0.43546576879910215,0.48333333333333334,0.49663299663299665
5-Year Rolling,13,1260,2015-06-11,2020-04-13,2020-04-14,2020-07-06,0.5072951739618407,0.5,0.5117845117845118
5-Year Rolling,14,1260,2015-09-03,2020-07-06,2020-07-07,2020-09-28,0.40271493212669685,0.4,0.3936651583710407
5-Year Rolling,15,1260,2015-11-26,2020-09-28,2020-09-29,2020-12-21,0.6897321428571429,0.5333333333333333,0.5602678571428572
5-Year Rolling,16,1260,2016-02-18,2020-12-21,2020-12-22,2021-03-15,0.5390625,0.5333333333333333,0.5334821428571428
5-Year Rolling,17,1260,2016-05-12,2021-03-15,2021-03-16,2021-06-07,0.48777777777777775,0.45,0.44999999999999996
5-Year Rolling,18,1260,2016-08-04,2021-06-07,2021-06-08,2021-08-30,0.5486425339366515,0.4666666666666667,0.5203619909502263
5-Year Rolling,19,1260,2016-10-27,2021-08-30,2021-08-31,2021-11-22,0.3800904977375566,0.4166666666666667,0.44909502262443435
5-Year Rolling,20,1260,2017-01-19,2021-11-22,2021-11-23,2022-02-14,0.7897664071190211,0.55,0.5611790878754171
5-Year Rolling,21,1260,2017-04-13,2022-02-14,2022-02-15,2022-05-09,0.5170387779083431,0.35,0.4318448883666275
5-Year Rolling,22,1260,2017-07-06,2022-05-09,2022-05-10,2022-08-01,0.4308035714285714,0.5,0.4955357142857143
5-Year Rolling,23,1260,2017-09-29,2022-08-01,2022-08-02,2022-10-24,0.5771428571428572,0.5666666666666667,0.5771428571428572
5-Year Rolling,24,1260,2017-12-25,2022-10-24,2022-10-25,2023-01-16,0.5750834260289209,0.5666666666666667,0.5695216907675195
5-Year Rolling,25,1260,2018-03-19,2023-01-16,2023-01-17,2023-04-10,0.47433035714285715,0.48333333333333334,0.48214285714285715
5-Year Rolling,26,1260,2018-06-11,2023-04-10,2023-04-11,2023-07-03,0.3849607182940516,0.4166666666666667,0.4158249158249158
5-Year Rolling,27,1260,2018-09-03,2023-07-03,2023-07-04,2023-09-25,0.5239154616240267,0.5166666666666667,0.5266963292547274
5-Year Rolling,28,1260,2018-11-26,2023-09-25,2023-09-26,2023-12-18,0.6251402918069584,0.6333333333333333,0.632996632996633
5-Year Rolling,29,1260,2019-02-18,2023-12-18,2023-12-19,2024-03-11,0.5355555555555556,0.45,0.44999999999999996
5-Year Rolling,30,1260,2019-05-13,2024-03-11,2024-03-12,2024-06-03,0.6240000000000001,0.6166666666666667,0.6028571428571429
5-Year Rolling,31,1260,2019-08-06,2024-06-03,2024-06-04,2024-08-26,0.583710407239819,0.5666666666666667,0.5950226244343891
5-Year Rolling,32,1260,2019-10-29,2024-08-26,2024-08-27,2024-11-18,0.45543345543345537,0.4166666666666667,0.47435897435897434
5-Year Rolling,33,1260,2020-01-21,2024-11-18,2024-11-19,2025-02-11,0.4826038159371493,0.5166666666666667,0.5336700336700337
5-Year Rolling,34,1260,2020-04-14,2025-02-11,2025-02-12,2025-05-08,0.49382716049382713,0.5,0.46464646464646464
5-Year Rolling,35,1260,2020-07-07,2025-05-08,2025-05-09,2025-07-31,0.5770089285714286,0.5666666666666667,0.5892857142857143
5-Year Rolling,36,1260,2020-09-29,2025-07-31,2025-08-01,2025-10-23,0.7296996662958842,0.55,0.5611790878754171
10-Year Rolling,1,2520,2007-10-08,2017-07-05,2017-07-06,2017-09-28,0.6011428571428571,0.48333333333333334,0.5285714285714286
10-Year Rolling,2,2520,2008-01-02,2017-09-28,2017-09-29,2017-12-22,0.5625,0.5,0.5022321428571428
10-Year Rolling,3,2520,2008-03-26,2017-12-22,2017-12-25,2018-03-16,0.42824074074074076,0.4166666666666667,0.4583333333333333
10-Year Rolling,4,2520,2008-06-20,2018-03-16,2018-03-19,2018-06-08,0.49434389140271495,0.45,0.45588235294117646
10-Year Rolling,5,2520,2008-10-07,2018-06-08,2018-06-11,2018-08-31,0.4560622914349277,0.48333333333333334,0.4899888765294772
10-Year Rolling,6,2520,2008-12-30,2018-08-31,2018-09-03,2018-11-23,0.6344444444444444,0.5666666666666667,0.5666666666666667
10-Year Rolling,7,2520,2009-03-24,2018-11-23,2018-11-26,2019-02-15,0.6351501668520578,0.5833333333333334,0.5878754171301446
10-Year Rolling,8,2520,2009-06-16,2019-02-15,2019-02-18,2019-05-10,0.4877232142857143,0.48333333333333334,0.4776785714285714
10-Year Rolling,9,2520,2009-09-08,2019-05-10,2019-05-13,2019-08-05,0.5269360269360269,0.5833333333333334,0.5976430976430976
10-Year Rolling,10,2520,2009-12-01,2019-08-05,2019-08-06,2019-10-28,0.5122767857142857,0.4666666666666667,0.46651785714285715
10-Year Rolling,11,2520,2010-02-23,2019-10-28,2019-10-29,2020-01-20,0.516,0.45,0.48857142857142855
10-Year Rolling,12,2520,2010-05-18,2020-01-20,2020-01-21,2020-04-13,0.47699214365881026,0.45,0.4629629629629629
10-Year Rolling,13,2520,2010-08-10,2020-04-13,2020-04-14,2020-07-06,0.5072951739618407,0.4666666666666667,0.46464646464646464
10-Year Rolling,14,2520,2010-11-02,2020-07-06,2020-07-07,2020-09-28,0.4117647058823529,0.4166666666666667,0.42194570135746606
10-Year Rolling,15,2520,2011-01-25,2020-09-28,2020-09-29,2020-12-21,0.6205357142857142,0.6,0.6116071428571428
