Cost BPS,Strategy,Net Return,Sharpe,Max Drawdown,Trades
0,Buy and Hold,0.018110554013832658,0.06509595240336805,-0.2329188740857303,1
0,ML Long-Short,-0.030726533358727437,-0.04877305980038838,-0.1762619281434894,357
0,ML Long-Only,-0.047327392954677805,-0.1700160576947974,-0.14382857129114035,201
0,B&H + ML Overlay,0.04942581808258639,0.12287038427823446,-0.17555535525626687,333
1,Buy and Hold,0.01800855568806603,0.06493431520397291,-0.23291887408572676,1
1,ML Long-Short,-0.08103949875072436,-0.17435065740848923,-0.19645486284984903,357
1,ML Long-Only,-0.06627737617159324,-0.24710531223458737,-0.15200975335749656,201
1,B&H + ML Overlay,0.01505514747071035,0.0590679448143226,-0.18812165926584867,333
2,Buy and Hold,0.017906557362287856,0.06477266492498206,-0.2329188740857292,1
2,ML Long-Short,-0.12874853728042812,-0.29980381639245435,-0.21615627942437055,357
2,ML Long-Only,-0.08485225603375235,-0.32429199387363344,-0.16011356642260643,201
2,B&H + ML Overlay,-0.018193088817322733,-0.004731485544734392,-0.20324509616801367,333
5,Buy and Hold,0.017600562384966656,0.06428763669643223,-0.23291887408572998,1
5,ML Long-Short,-0.2575615418048316,-0.6740795121111262,-0.29391004402827303,357
5,ML Long-Only,-0.13839943971992363,-0.5559069125157504,-0.1902462184357967,201
5,B&H + ML Overlay,-0.11156277971221551,-0.19594229858076398,-0.2469545091825438,333
