Fold,Outer Train Start,Outer Train End,Outer Training Rows,Outer Purge Date,Validation Start,Validation End,Inner Training Rows,Validation Rows,Test Start,Test End,Selected Threshold,Validation Overlay Sharpe,Validation Overlay Return,Test AUC
1,2007-10-08,2017-07-05,2520,2017-07-06,2016-07-19,2017-07-05,2267,252,2017-07-07,2017-09-29,0.52,0.4033638164149304,0.028346635344088655,0.6011428571428571
2,2008-01-02,2017-09-28,2520,2017-09-29,2016-10-11,2017-09-28,2267,252,2017-10-02,2017-12-25,0.52,1.3600545228737628,0.1060932964407657,0.5513392857142857
3,2008-03-26,2017-12-22,2520,2017-12-25,2017-01-03,2017-12-22,2267,252,2017-12-26,2018-03-19,0.54,2.0647334085724247,0.156001667644323,0.44212962962962965
4,2008-06-20,2018-03-16,2520,2018-03-19,2017-03-28,2018-03-16,2267,252,2018-03-20,2018-06-11,0.54,2.0461236184561904,0.15414857577951957,0.49257142857142855
5,2008-10-07,2018-06-08,2520,2018-06-11,2017-06-20,2018-06-08,2267,252,2018-06-12,2018-09-03,0.52,0.9927545737912865,0.06380662729803666,0.44754464285714285
6,2008-12-30,2018-08-31,2520,2018-09-03,2017-09-13,2018-08-31,2267,252,2018-09-04,2018-11-26,0.52,-0.029680878317348204,-0.0040867230281019795,0.6206896551724138
7,2009-03-24,2018-11-23,2520,2018-11-26,2017-12-07,2018-11-23,2267,252,2018-11-27,2019-02-18,0.52,-0.28914811396942336,-0.02156920609158841,0.6517857142857142
8,2009-06-16,2019-02-15,2520,2019-02-18,2018-03-01,2019-02-15,2267,252,2019-02-19,2019-05-13,0.5,-0.4766176125128926,-0.026694125412185743,0.4938820912124583
9,2009-09-08,2019-05-10,2520,2019-05-13,2018-05-24,2019-05-10,2267,252,2019-05-14,2019-08-06,0.5,0.5722146564810017,0.0219455776395181,0.5303030303030303
10,2009-12-01,2019-08-05,2520,2019-08-06,2018-08-16,2019-08-05,2267,252,2019-08-07,2019-10-29,0.52,0.10776259796487507,0.0044717609856230744,0.4916573971078977
11,2010-02-23,2019-10-28,2520,2019-10-29,2018-11-08,2019-10-28,2267,252,2019-10-30,2020-01-21,0.5,1.2229892723078617,0.042778847612999105,0.5130090497737557
12,2010-05-18,2020-01-20,2520,2020-01-21,2019-01-31,2020-01-20,2267,252,2020-01-22,2020-04-14,0.5,-0.15713291701484175,-0.005925575899827229,0.47098214285714285
13,2010-08-10,2020-04-13,2520,2020-04-14,2019-04-25,2020-04-13,2267,252,2020-04-15,2020-07-07,0.52,-0.2970565543484667,-0.019240893153303684,0.5145089285714286
14,2010-11-02,2020-07-06,2520,2020-07-07,2019-07-19,2020-07-06,2267,252,2020-07-08,2020-09-29,0.6,0.11932420794518905,0.005885331276302086,0.41485714285714287
15,2011-01-25,2020-09-28,2520,2020-09-29,2019-10-11,2020-09-28,2267,252,2020-09-30,2020-12-22,0.58,0.5582303303618198,0.036836314069505605,0.6184649610678532
16,2011-04-19,2020-12-21,2520,2020-12-22,2020-01-03,2020-12-21,2267,252,2020-12-23,2021-03-16,0.58,1.1580849384942362,0.08340799900245544,0.5558035714285714
17,2011-07-12,2021-03-15,2520,2021-03-16,2020-03-27,2021-03-15,2267,252,2021-03-17,2021-06-08,0.52,1.3965800977760323,0.07035490687345125,0.5772222222222223
18,2011-10-04,2021-06-07,2520,2021-06-08,2020-06-19,2021-06-07,2267,252,2021-06-09,2021-08-31,0.6,1.3789428144088436,0.08753998372061944,0.5112233445566778
19,2011-12-27,2021-08-30,2520,2021-08-31,2020-09-11,2021-08-30,2267,252,2021-09-01,2021-11-23,0.5,0.005886356451084549,-0.0007626259697270932,0.47850678733031676
20,2012-03-20,2021-11-22,2520,2021-11-23,2020-12-04,2021-11-22,2267,252,2021-11-24,2022-02-15,0.5,-1.0875791157896493,-0.05092404709896026,0.7119021134593992
