Model,Horizon,Fold,Test Start,Test End,AUC,Threshold
Logistic Regression,1,1,2017-07-14,2017-10-05,0.5983796296296297,0.52
Logistic Regression,1,2,2017-10-06,2017-12-29,0.5583982202447164,0.54
Logistic Regression,1,3,2018-01-01,2018-03-23,0.46171428571428563,0.6
Logistic Regression,1,4,2018-03-26,2018-06-15,0.48342857142857143,0.56
Logistic Regression,1,5,2018-06-18,2018-09-07,0.4638487208008899,0.6
Logistic Regression,1,6,2018-09-10,2018-11-30,0.5966666666666667,0.5
Logistic Regression,1,7,2018-12-03,2019-02-22,0.5535714285714286,0.5
Logistic Regression,1,8,2019-02-25,2019-05-17,0.5844444444444444,0.5
Logistic Regression,1,9,2019-05-20,2019-08-12,0.5167410714285714,0.52
Logistic Regression,1,10,2019-08-13,2019-11-04,0.5233333333333333,0.52
Logistic Regression,1,11,2019-11-05,2020-01-27,0.48660714285714285,0.5
Logistic Regression,1,12,2020-01-28,2020-04-20,0.49441964285714285,0.5
Logistic Regression,1,13,2020-04-21,2020-07-13,0.5158371040723981,0.54
Logistic Regression,1,14,2020-07-14,2020-10-05,0.3925339366515837,0.52
Logistic Regression,1,15,2020-10-06,2020-12-28,0.5691964285714286,0.6
Logistic Regression,1,16,2020-12-29,2021-03-22,0.6206896551724138,0.58
Logistic Regression,1,17,2021-03-23,2021-06-14,0.5788888888888889,0.58
Logistic Regression,1,18,2021-06-15,2021-09-06,0.5022321428571429,0.6
Logistic Regression,1,19,2021-09-07,2021-11-29,0.4852941176470589,0.5
Logistic Regression,1,20,2021-11-30,2022-02-21,0.5701459034792368,0.5
Logistic Regression,1,21,2022-02-22,2022-05-16,0.6028202115158637,0.5
Logistic Regression,1,22,2022-05-17,2022-08-08,0.6095661846496108,0.5
Logistic Regression,1,23,2022-08-09,2022-10-31,0.5214932126696833,0.52
Logistic Regression,1,24,2022-11-01,2023-01-23,0.5308641975308642,0.5
Logistic Regression,1,25,2023-01-24,2023-04-17,0.48164627363737483,0.5
Logistic Regression,1,26,2023-04-18,2023-07-10,0.4792368125701459,0.52
Logistic Regression,1,27,2023-07-11,2023-10-02,0.5993303571428571,0.56
Logistic Regression,1,28,2023-10-03,2023-12-25,0.6527149321266967,0.6
Logistic Regression,1,29,2023-12-26,2024-03-18,0.47991071428571425,0.54
Logistic Regression,1,30,2024-03-19,2024-06-10,0.5862857142857142,0.54
Logistic Regression,1,31,2024-06-11,2024-09-02,0.5817142857142856,0.54
Logistic Regression,1,32,2024-09-03,2024-11-25,0.4358974358974359,0.52
Logistic Regression,1,33,2024-11-26,2025-02-18,0.59375,0.5
Logistic Regression,1,34,2025-02-19,2025-05-15,0.55331088664422,0.52
Logistic Regression,1,35,2025-05-16,2025-08-07,0.5558035714285714,0.56
Logistic Regression,1,36,2025-08-08,2025-10-30,0.6140155728587319,0.58
Random Forest,1,1,2017-07-14,2017-10-05,0.5833333333333334,0.52
Random Forest,1,2,2017-10-06,2017-12-29,0.5250278086763069,0.52
Random Forest,1,3,2018-01-01,2018-03-23,0.46742857142857136,0.54
Random Forest,1,4,2018-03-26,2018-06-15,0.4720000000000001,0.54
Random Forest,1,5,2018-06-18,2018-09-07,0.44271412680756395,0.54
Random Forest,1,6,2018-09-10,2018-11-30,0.5977777777777777,0.52
Random Forest,1,7,2018-12-03,2019-02-22,0.6573660714285714,0.52
Random Forest,1,8,2019-02-25,2019-05-17,0.48444444444444446,0.5
Random Forest,1,9,2019-05-20,2019-08-12,0.5061383928571428,0.5
Random Forest,1,10,2019-08-13,2019-11-04,0.47777777777777775,0.52
Random Forest,1,11,2019-11-05,2020-01-27,0.5050223214285714,0.5
Random Forest,1,12,2020-01-28,2020-04-20,0.49888392857142855,0.5
Random Forest,1,13,2020-04-21,2020-07-13,0.5237556561085973,0.52
Random Forest,1,14,2020-07-14,2020-10-05,0.4004524886877828,0.5
Random Forest,1,15,2020-10-06,2020-12-28,0.6417410714285714,0.52
Random Forest,1,16,2020-12-29,2021-03-22,0.5917686318131257,0.58
Random Forest,1,17,2021-03-23,2021-06-14,0.5461111111111111,0.52
Random Forest,1,18,2021-06-15,2021-09-06,0.48828125,0.6
Random Forest,1,19,2021-09-07,2021-11-29,0.5248868778280542,0.5
Random Forest,1,20,2021-11-30,2022-02-21,0.6868686868686867,0.5
Random Forest,1,21,2022-02-22,2022-05-16,0.54524089306698,0.5
