Strategy,Net Return,Annualised Return,Sharpe,Max Drawdown,Trades,Cash Exposure
Buy and Hold,1.47,0.17,0.06,-23.29,1,0.0
B&H + Logistic Regression (1d),18.81,2.03,0.379,-9.09,379,33.75
B&H + Random Forest (1d),-3.07,-0.36,-0.03,-22.24,351,26.67
B&H + XGBoost (1d),-6.07,-0.73,-0.103,-24.61,789,38.8
B&H + Logistic Regression (3d),0.22,0.03,0.033,-17.78,138,30.97
B&H + Random Forest (3d),-3.14,-0.37,-0.05,-17.01,119,51.39
B&H + XGBoost (3d),0.97,0.11,0.048,-19.88,281,38.75
B&H + Logistic Regression (5d),-3.08,-0.36,-0.043,-17.98,77,43.06
B&H + Random Forest (5d),-13.17,-1.63,-0.26,-29.55,71,35.65
B&H + XGBoost (5d),-19.85,-2.55,-0.447,-32.29,177,42.36
